序号	时间标识	源通道	帧ID	帧类型	帧格式	CAN类型	方向	长度	数据
65	2023-03-23 19:26:25.396	Ch0	0x27B	标准帧	数据帧	CANFD加速	Rx	8	18 20 00 00 00 00 00 C7 
66	2023-03-23 19:26:25.396	Ch0	0x2A6	标准帧	数据帧	CANFD加速	Rx	8	C0 01 64 00 00 00 10 CA 
67	2023-03-23 19:26:25.396	Ch0	0x1B5	标准帧	数据帧	CANFD加速	Rx	8	21 01 45 01 80 01 00 00 
68	2023-03-23 19:26:25.396	Ch0	0x235	标准帧	数据帧	CANFD加速	Rx	8	00 80 00 16 00 F6 11 62 
69	2023-03-23 19:26:25.396	Ch0	0x23A	标准帧	数据帧	CANFD加速	Rx	8	FF FF 80 00 FF 8F 10 E3 
70	2023-03-23 19:26:25.398	Ch0	0x1B5	标准帧	数据帧	CANFD加速	Rx	8	21 01 47 01 81 01 00 00 
71	2023-03-23 19:26:25.398	Ch0	0x2B0	标准帧	数据帧	CANFD加速	Rx	8	19 00 00 00 00 00 DF 07 
72	2023-03-23 19:26:25.398	Ch0	0x2EC	标准帧	数据帧	CANFD加速	Rx	8	A0 02 00 00 00 00 00 00 
73	2023-03-23 19:26:25.398	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 E0 CF 
74	2023-03-23 19:26:25.398	Ch0	0x1B5	标准帧	数据帧	CANFD加速	Rx	8	21 01 47 01 81 01 00 00 
75	2023-03-23 19:26:25.403	Ch0	0x3BD	标准帧	数据帧	CANFD加速	Rx	64	FF FF FF FF 0F 00 05 14 14 00 FC DF D9 01 F0 FF FF F3 FF FF 31 03 F8 FF 0F C0 29 FF 03 10 42 08 21 E0 30 34 36 35 33 30 FE FF FE FF 14 FF 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 
76	2023-03-23 19:26:25.403	Ch0	0x43E	标准帧	数据帧	CANFD加速	Rx	8	8C FF FF FF FF 00 04 20 
77	2023-03-23 19:26:25.403	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 B0 51 
78	2023-03-23 19:26:25.403	Ch0	0x4B3	标准帧	数据帧	CANFD加速	Rx	64	00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF FF FF FF FF FF FF FF 47 55 01 00 F0 FF FF FF 90 E0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF FF FF FF 02 FF FF FF FF FF FF FF FF FF FF FF 
79	2023-03-23 19:26:25.403	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF CF 36 
80	2023-03-23 19:26:25.406	Ch0	0x261	标准帧	数据帧	CANFD加速	Rx	8	51 0D 7C 30 02 1E 20 B5 
81	2023-03-23 19:26:25.406	Ch0	0x28F	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 2F D0 
82	2023-03-23 19:26:25.408	Ch0	0x2C0	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 CF 30 
83	2023-03-23 19:26:25.411	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 C0 41 
84	2023-03-23 19:26:25.415	Ch0	0x248	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 AF 50 
85	2023-03-23 19:26:25.415	Ch0	0x26F	标准帧	数据帧	CANFD加速	Rx	8	FF FF 3F A1 03 1B 40 C3 
86	2023-03-23 19:26:25.419	Ch0	0x267	标准帧	数据帧	CANFD加速	Rx	8	DE 7B EF BD F7 3E C5 12 
87	2023-03-23 19:26:25.419	Ch0	0x288	标准帧	数据帧	CANFD加速	Rx	48	50 FF 9B 50 FF 9B 50 FF 9B 50 FF 9B 05 05 05 05 46 46 46 46 00 00 00 00 00 00 50 FF 9B 05 46 00 00 00 00 00 00 00 80 E0 02 00 E0 FF FF FF FF FF 
88	2023-03-23 19:26:25.419	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 F0 BF 
89	2023-03-23 19:26:25.419	Ch0	0x1C2	标准帧	数据帧	CANFD加速	Rx	8	57 3A F1 80 C0 FF BF 7F 
90	2023-03-23 19:26:25.422	Ch0	0x31E	标准帧	数据帧	CANFD加速	Rx	8	03 10 E0 FF FF FF 3F D0 
91	2023-03-23 19:26:25.422	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 D0 31 
92	2023-03-23 19:26:25.425	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF DF 26 
93	2023-03-23 19:26:25.429	Ch0	0x511	标准帧	数据帧	CANFD加速	Rx	8	11 00 00 00 00 00 00 EE 
94	2023-03-23 19:26:25.433	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 E0 21 
95	2023-03-23 19:26:25.433	Ch0	0x2E9	标准帧	数据帧	CANFD加速	Rx	8	FF FF FF FF FF FF FF FF 
96	2023-03-23 19:26:25.437	Ch0	0x275	标准帧	数据帧	CANFD加速	Rx	8	19 10 01 19 00 00 2F 8D 
97	2023-03-23 19:26:25.437	Ch0	0x287	标准帧	数据帧	CANFD加速	Rx	8	00 10 01 59 04 44 2F 1E 
98	2023-03-23 19:26:25.437	Ch0	0x4E1	标准帧	数据帧	CANFD加速	Rx	8	FF FF FF FF FF FF 00 00 
99	2023-03-23 19:26:25.437	Ch0	0x2B6	标准帧	数据帧	CANFD加速	Rx	8	17 03 16 13 1A 15 33 00 
100	2023-03-23 19:26:25.437	Ch0	0x323	标准帧	数据帧	CANFD加速	Rx	8	60 FF FE 0F FF FF 5F 36 
101	2023-03-23 19:26:25.439	Ch0	0x151	标准帧	数据帧	CANFD加速	Rx	8	00 FD FF 00 F0 FF 5F B5 
102	2023-03-23 19:26:25.439	Ch0	0x25D	标准帧	数据帧	CANFD加速	Rx	8	80 F0 FF F1 FF F1 00 AF 
103	2023-03-23 19:26:25.439	Ch0	0x294	标准帧	数据帧	CANFD加速	Rx	8	55 00 56 08 2C 4F 0B C6 
104	2023-03-23 19:26:25.443	Ch0	0x12D	标准帧	数据帧	CANFD加速	Rx	8	A0 28 02 00 0C F0 EF 4A 
105	2023-03-23 19:26:25.443	Ch0	0x296	标准帧	数据帧	CANFD加速	Rx	8	40 04 00 00 00 00 2F 8C 
106	2023-03-23 19:26:25.445	Ch0	0x2EF	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 00 00 
107	2023-03-23 19:26:25.445	Ch0	0x2DD	标准帧	数据帧	CANFD加速	Rx	8	FF 00 00 50 00 00 00 00 
108	2023-03-23 19:26:25.445	Ch0	0x27B	标准帧	数据帧	CANFD加速	Rx	8	18 20 00 00 00 00 00 C7 
109	2023-03-23 19:26:25.445	Ch0	0x2A6	标准帧	数据帧	CANFD加速	Rx	8	C0 01 64 00 00 00 20 BA 
110	2023-03-23 19:26:25.445	Ch0	0x235	标准帧	数据帧	CANFD加速	Rx	8	00 80 00 16 00 F6 21 52 
111	2023-03-23 19:26:25.445	Ch0	0x23A	标准帧	数据帧	CANFD加速	Rx	8	FF FF 80 00 FF 8F 20 D3 
112	2023-03-23 19:26:25.450	Ch0	0x2B0	标准帧	数据帧	CANFD加速	Rx	8	19 00 00 00 00 00 EF F7 
113	2023-03-23 19:26:25.450	Ch0	0x144	标准帧	数据帧	CANFD加速	Rx	8	00 01 80 E8 13 82 F0 11 
114	2023-03-23 19:26:25.450	Ch0	0x1EF	标准帧	数据帧	CANFD加速	Rx	16	00 00 00 00 00 00 00 00 FF FF FF FF FF FF EF 16 
115	2023-03-23 19:26:25.452	Ch0	0x4A5	标准帧	数据帧	CANFD加速	Rx	8	09 FF FF FF FF 13 1A 15 
116	2023-03-23 19:26:25.452	Ch0	0x427	标准帧	数据帧	CANFD加速	Rx	8	03 80 08 01 01 01 07 00 
117	2023-03-23 19:26:25.455	Ch0	0x28F	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 3F C0 
118	2023-03-23 19:26:25.459	Ch0	0x2C0	标准帧	数据帧	CANFD加速	Rx	8	00 00 00 00 00 00 DF 20 
